Tier,区分,証券コード,企業名,主要アクティビスト,保有%,推移Δpp,否決,条件,株価,PER,PBR,配当利回り%,株価日付,推移,メモ
1,継続,9913,日邦産業株式会社,ＡＸＩＵＭ ＣＡＰＩＴＡＬ ＰＴＥ．ＬＴＤ．,17.0,0.91,,A,3050.0,19.14,1.54,5.05,2026-07-30,25/07: 16.09% → 25/07: 16.09% → 25/09: 17.23% → 25/12: 17.66% → 26/01: 16.09% → 26/01: 17.23% → 26/05: 18.04% → 26/07: 17.00%,AXIUM 17%。配当議案否決の還元圧力(昨年から継続)
1,継続,8871,株式会社ゴールドクレスト,株式会社ストラテジックキャピタル,16.28,7.28,○,C,3325.0,18.85,0.81,3.01,2026-07-30,24/04: 9.00% → 24/08: 10.00% → 24/09: 11.03% → 24/10: 12.04% → 24/12: 13.10% → 25/08: 14.13% → 26/02: 14.67% → 26/07: 16.28%,SCが一貫買い増し16%。株主提案否決の膠着継続。不動産割安
1,新規,9468,株式会社ＫＡＤＯＫＡＷＡ,Ｏａｓｉｓ Ｍａｎａｇｅｍｅｎｔ Ｃｏｍｐａｎｙ Ｌｔｄ．,15.25,6.39,○,C,3580.0,411.02,2.15,0.84,2026-07-30,26/03: 8.86% → 26/03: 10.00% → 26/03: 11.85% → 26/03: 13.76% → 26/05: 13.76% → 26/06: 15.25%,Oasis 8.9%→15.3%＋否決。ソニー10%も。株主構成が動く
1,新規,7745,株式会社Ａ＆Ｄホロンホールディングス,株式会社ストラテジックキャピタル,15.01,9.77,,A,2900.0,13.41,1.61,1.9,2026-07-30,26/02: 5.24% → 26/02: 6.36% → 26/02: 7.26% → 26/03: 8.27% → 26/03: 9.34% → 26/04: 10.57% → 26/05: 11.87% → 26/05: 12.91% → 26/06: 13.99% → 26/07: 15.01%,SC15%。計測器
1,継続,6727,株式会社ワコム,アセット・バリュー・インベスターズ・リミテッド,14.83,5.74,○,AC,811.0,11.43,2.92,3.21,2026-07-30,24/02: 9.09% → 24/03: 7.73% → 25/05: 9.18% → 25/06: 11.04% → 25/06: 12.04% → 25/08: 13.17% → 26/05: 13.74% → 26/06: 14.83%,AVI14.8%+カナメ。株主提案が2年連続否決される膠着でAVI積み増し
1,新規,6237,株式会社イワキ,Ｃｈａｒｏｎ Ｆｉｎａｎｃｅ ＧｍｂＨ,14.7,8.37,○,AC,4845.0,22.21,2.6,1.59,2026-07-30,24/02: 6.33% → 24/03: 6.33% → 24/03: 7.35% → 24/04: 8.36% → 24/08: 9.36% → 24/08: 10.55% → 24/11: 11.61% → 25/05: 12.65% → 25/10: 13.65% → 26/07: 14.70%,Charon14.7%+ダルトン。極端な低賛成率で否決
1,新規,9882,株式会社イエローハット,株式会社ストラテジックキャピタル,13.83,8.81,○,C,1870.0,13.56,1.29,3.32,2026-07-30,24/07: 5.02% → 24/08: 6.10% → 24/08: 7.26% → 24/08: 8.41% → 24/08: 9.55% → 24/10: 11.25% → 24/10: 11.62% → 24/12: 12.22% → 26/01: 13.83% → 26/02: 13.83% → 26/02: 13.83%,SC新規5%→14%。2議案否決。カー用品割安
1,新規,6517,デンヨー株式会社,シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド,13.68,1.57,○,AC,3680.0,13.31,0.91,2.72,2026-07-30,24/12: 12.11% → 25/06: 13.13% → 25/10: 13.68%,シンフォニー13.7%。否決
1,新規,8011,株式会社三陽商会,アセット・バリュー・インベスターズ・リミテッド,13.07,7.71,,AB,4910.0,13.97,1.33,2.63,2026-07-30,25/12: 5.36% → 25/12: 6.38% → 25/12: 7.41% → 26/01: 8.44% → 26/01: 9.60% → 26/02: 10.77% → 26/03: 12.05% → 26/04: 13.07%,AVI13%。アパレル
1,新規,6262,株式会社ＰＥＧＡＳＵＳ,Ｂｅ Ｂｒａｖｅ株式会社,12.88,6.54,,A,543.0,41.07,0.4,5.52,2026-07-30,25/11: 6.34% → 25/11: 8.29% → 25/12: 9.57% → 25/12: 10.57% → 26/03: 11.87% → 26/04: 12.88%,
