証券コード,企業名,保有者名,最新保有割合(%),保有割合推移,保有目的,トリガー条件,報告書件数,グループ合算(%),共同保有者数,グループ合算推移
1803,清水建設株式会社,ブラックロック・インベストメント・マネジメント（ユーケー）リミテッド(BlackRock Investment Management (UK) Limited),0.58,25/09: 0.15% → 26/03: 0.58%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,6.22,11,25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ブラックロック・アセット・マネジメント・アイルランド・リミテッド(BlackRock Asset Management Ireland Limited),0.54,24/06: 0.18% → 25/09: 0.20% → 26/03: 0.54%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,"ブラックロック・アドバイザーズ・エルエルシー(BlackRock Advisers, LLC)",0.24,25/09: 0.21% → 26/03: 0.24%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,6.22,11,25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ブラックロック（ネザーランド）BV(BlackRock (Netherlands) BV),0.22,24/06: 0.16% → 25/09: 0.11% → 26/03: 0.22%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,"ブラックロック・フィナンシャル・マネジメント・インク(BlackRock Financial Management, Inc.)",0.22,25/09: 0.21% → 26/03: 0.22%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,6.22,11,25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,野村證券株式会社,0.18,24/06: 0.00% → 24/09: 0.18%,証券業務に係る商品在庫、及び累積投資業務の運営目的として保有している。,A:賛成率低下,2,3.88,3,24/06: 5.07% → 24/09: 3.88%
1803,清水建設株式会社,ブラックロック・インベストメント・マネジメント （オーストラリア）リミテッド(BlackRock Investment Management (Australia) Limited),0.15,25/09: 0.12% → 26/03: 0.15%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,6.22,11,25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ブラックロック・アセット・マネジメント・カナダ・リミテッド(BlackRock Asset Management Canada Limited),0.13,24/06: 0.02% → 25/09: 0.12% → 26/03: 0.13%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ブラックロック・ファンド・マネジャーズ・リミテッド(BlackRock Fund Managers Limited),0.11,24/06: 0.20% → 25/09: 0.14% → 26/03: 0.11%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ブラックロック(ルクセンブルグ）エス・エー(BlackRock (Luxembourg) S.A.),0.10,25/09: 0.11% → 26/03: 0.10%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,6.22,11,25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ノムラ　インターナショナル　ピーエルシー（ＮＯＭＵＲＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＰＬＣ）,-0.07,24/06: 1.32% → 24/09: -0.07%,証券業務に係わる商品在庫として保有している。,A:賛成率低下,2,3.88,3,24/06: 5.07% → 24/09: 3.88%
1815,鉄建建設株式会社,三井住友ＤＳアセットマネジメント株式会社,4.87,26/06: 4.87%,純投資（投資収益性を重視して行う投資）,A:賛成率低下,1,5.01,2,26/06: 5.01%
1815,鉄建建設株式会社,株式会社　三井住友銀行,0.14,26/06: 0.14%,政策保有目的,A:賛成率低下,1,5.01,2,26/06: 5.01%
1860,戸田建設株式会社,大一殖産株式会社,13.50,26/05: 13.50% → 26/05: 13.50%,安定株主としての中長期的な保有、および関係強化,A:賛成率低下,2,18.56,5,26/05: 18.56% → 26/05: 18.56%
1860,戸田建設株式会社,シルチェスター・インターナショナル・インベスターズ・エルエルピー (Silchester International Investors LLP),4.92,24/02: 7.01% → 24/03: 5.95% → 24/05: 4.92%,提出者は、発行者に対して増配、自己株式の買入の頻度又は総量、金庫株消却その他資本政策の変更を要求することがある。また、(i)重要な資産の処分又は取得、(ii)借入又は転換社債の発行、(iii)取締役又は重要な使用人の選任又は解任、(iv)株式譲渡、(v)会社分割又は合併、(vi)株式交換、又は(vii)事業の譲渡又は譲受に関して、発行者、提出者若しくは他の株主が提案した議案に対して、反対票を投ずることも、賛成票を投ずることもある。提出者は、その顧客の為に、株式を追加取得することも、保有株式の全て又は一部を売却することもある。,A:賛成率低下,3,4.92,1,24/02: 7.01% → 24/03: 5.95% → 24/05: 4.92%
1860,戸田建設株式会社,一般社団法人アリー,2.82,26/05: 2.82% → 26/05: 2.82%,純投資,A:賛成率低下,2,18.56,5,26/05: 18.56% → 26/05: 18.56%
1860,戸田建設株式会社,三菱ＵＦＪ信託銀行株式会社,2.77,24/07: 3.60% → 26/03: 2.77%,政策投資・純投資,A:賛成率低下,2,5.49,4,24/07: 6.67% → 26/03: 5.49%
1860,戸田建設株式会社,株式会社三菱ＵＦＪ銀行,1.83,24/07: 2.16% → 26/03: 1.83%,政策投資,A:賛成率低下,2,5.49,4,24/07: 6.67% → 26/03: 5.49%
1860,戸田建設株式会社,戸田　守道,1.35,26/05: 1.35% → 26/05: 1.35%,純投資,A:賛成率低下,2,18.56,5,26/05: 18.56% → 26/05: 18.56%
1860,戸田建設株式会社,三宅　雄一郎,0.72,26/05: 0.72% → 26/05: 0.72%,純投資,A:賛成率低下,2,18.56,5,26/05: 18.56% → 26/05: 18.56%
1860,戸田建設株式会社,三菱ＵＦＪアセットマネジメント株式会社,0.50,24/07: 0.34% → 26/03: 0.50%,純投資,A:賛成率低下,2,5.49,4,24/07: 6.67% → 26/03: 5.49%
1860,戸田建設株式会社,三菱ＵＦＪモルガン・スタンレー証券株式会社,0.39,24/07: 0.56% → 26/03: 0.39%,商品有価証券等として保有するもの,A:賛成率低下,2,5.49,4,24/07: 6.67% → 26/03: 5.49%
1860,戸田建設株式会社,公益財団法人戸田育英財団,0.17,26/05: 0.17% → 26/05: 0.17%,純投資,A:賛成率低下,2,18.56,5,26/05: 18.56% → 26/05: 18.56%
1921,株式会社　巴コーポレーション,Be Brave株式会社　代表取締役　泉田和人,9.37,25/11: 5.13% → 25/11: 5.13% → 26/03: 7.35% → 26/06: 8.37% → 26/07: 9.37%,提出者は、建設的対話をもとに発行会社の企業価値及び株主価値の向上を目的として当該株式を保有しており、純投資として長期的に保有することを基本方針とするが、発行者の経営方針、財務状況、事業環境、業績見通し、コーポレートガバナンス・コードの遵守状況、取締役会等の様々な状況を考慮し、提出者が適切と判断した時期に、法令で認められる範囲において、発行者の株式の追加取得、または下記の事項に関する提案等の重要提案行為等を行う可能性がある。1．資本政策の変更－増配及び自己株式取得・償却2．事業及び資産の譲渡－株主価値向上に資することのない資産および事業3．事業及び資産の譲受け－業界再編についての提案4．株式の非公開化－MBOを含む提出者は、株式会社の株主価値の向上を目的として、発行会社との対話を通じ、上記について重要提案行為等を行う可能性がある。,A:賛成率低下,5,9.37,1,25/11: 5.13% → 25/11: 5.13% → 26/03: 7.35% → 26/06: 8.37% → 26/07: 9.37%
1921,株式会社　巴コーポレーション,株式会社　三井住友銀行,5.46,25/03: 4.96% → 26/03: 5.46%,政策保有目的,A:賛成率低下,2,7.07,2,25/03: 6.05% → 26/03: 7.07%
1921,株式会社　巴コーポレーション,株式会社三菱ＵＦＪ銀行,5.20,24/07: 4.73% → 25/03: 4.31% → 26/03: 5.20%,政策投資,A:賛成率低下,3,5.20,1,24/07: 5.36% → 25/03: 4.31% → 26/03: 5.20%
1921,株式会社　巴コーポレーション,株式会社みずほ銀行,5.20,25/03: 4.40% → 26/03: 5.20%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。,A:賛成率低下,2,5.20,1,25/03: 4.40% → 26/03: 5.20%
1921,株式会社　巴コーポレーション,三井住友ＤＳアセットマネジメント株式会社,1.61,25/03: 1.08% → 26/03: 1.61%,純投資（投資収益性を重視して行う投資）,A:賛成率低下,2,7.07,2,25/03: 6.05% → 26/03: 7.07%
1921,株式会社　巴コーポレーション,ブラッククローバーリミテッド(Black Clover Limited),1.49,24/01: 6.46% → 24/02: 6.46% → 24/06: 7.51% → 25/02: 1.49%,投資及び状況に応じて経営陣への助言、重要事項提案等を行うこと,A:賛成率低下,4,1.49,1,24/01: 6.46% → 24/02: 6.46% → 24/06: 7.51% → 25/02: 1.49%
1921,株式会社　巴コーポレーション,三菱ＵＦＪ信託銀行株式会社,0.00,24/07: 0.33% → 25/03: 0.00%,-,A:賛成率低下,2,4.31,1,24/07: 5.36% → 25/03: 4.31%
1921,株式会社　巴コーポレーション,三菱ＵＦＪアセットマネジメント株式会社,0.00,24/07: 0.11% → 25/03: 0.00%,-,A:賛成率低下,2,4.31,1,24/07: 5.36% → 25/03: 4.31%
1921,株式会社　巴コーポレーション,三菱ＵＦＪモルガン・スタンレー証券株式会社,0.00,24/07: 0.19% → 25/03: 0.00%,商品有価証券等として保有するもの,A:賛成率低下,2,4.31,1,24/07: 5.36% → 25/03: 4.31%
1921,株式会社　巴コーポレーション,アセットマネジメントOne株式会社,0.00,25/03: 0.00%,,A:賛成率低下,1,4.40,1,25/03: 4.40%
1951,エクシオグループ株式会社,フィデリティ投信株式会社,6.35,26/01: 5.26% → 26/03: 6.35%,顧客の財産を投資信託約款および投資一任契約等に基づき運用するために保有。しかしながら、当該保有証券の名義人は弊社ではなく、顧客の選択した銀行等（カストディアンバンク又は信託銀行等）になります。,A:賛成率低下 + C:会社提案否決,2,6.35,1,26/01: 5.26% → 26/03: 6.35%
