証券コード,企業名,保有者名,最新保有割合(%),保有割合推移,保有目的,トリガー条件,報告書件数,グループ合算(%),共同保有者数,グループ合算推移
6562,株式会社ジーニー,株式会社みずほ銀行,35.64,24/08: 35.64%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。,A:賛成率低下,1,35.64,1,24/08: 35.64%
6562,株式会社ジーニー,工藤　智昭,23.57,25/10: 23.57% → 25/10: 23.57% → 25/10: 23.57% → 25/10: 36.58% → 25/10: 23.57% → 25/10: 23.57%,発行会社の創業者かつ代表取締役社長であり、経営参加を目的とした安定株主として保有しております。,A:賛成率低下,6,23.57,1,25/10: 23.57% → 25/10: 23.57% → 25/10: 23.57% → 25/10: 36.58% → 25/10: 23.57% → 25/10: 23.57%
6562,株式会社ジーニー,ソフトバンク株式会社,0.00,24/04: 31.15% → 24/08: 0.00%,政策投資として保有,A:賛成率低下,2,0.00,1,24/04: 31.15% → 24/08: 0.00%
6564,株式会社ミダックホールディングス,キャピタル・リサーチ・アンド・マネージメント・カンパニー(Capital Research and Management Company),3.28,24/02: 3.28%,顧客である日本国外の投資信託のための純投資。,A:賛成率低下,1,3.28,1,24/02: 3.28%
6574,株式会社コンヴァノ,株式会社NT代表取締役　青木剛志,72.28,24/04: 72.28%,株式を売却することにより利益を得る純投資を目的としており、安定保有を原則に市場動向を勘案しながら売却手法を探索する方針,C:会社提案否決,1,72.28,1,24/04: 72.28%
6574,株式会社コンヴァノ,株式会社ディメンショナル,9.29,25/07: 13.80% → 25/07: 13.80% → 25/07: 13.80% → 25/08: 13.80% → 25/09: 12.53% → 25/09: 13.80% → 25/09: 12.53% → 25/09: 13.80% → 25/09: 13.80% → 25/09: 12.53% → 25/09: 13.80% → 25/09: 13.80% → 25/09: 13.80% → 25/09: 11.32% → 25/09: 11.32% → 25/10: 11.32% → 25/10: 10.12% → 25/10: 10.14% → 25/11: 9.02% → 25/11: 7.32% → 25/11: 9.02% → 26/01: 10.99% → 26/01: 9.29%,純投資,C:会社提案否決,23,13.57,2,25/07: 18.09% → 25/07: 18.09% → 25/07: 18.09% → 25/08: 18.09% → 25/09: 16.82% → 25/09: 18.09% → 25/09: 16.82% → 25/09: 18.09% → 25/09: 18.09% → 25/09: 16.82% → 25/09: 18.09% → 25/09: 18.09% → 25/09: 18.09% → 25/09: 15.62% → 25/09: 15.62% → 25/10: 15.62% → 25/10: 14.42% → 25/10: 14.42% → 25/11: 13.30% → 25/11: 11.61% → 25/11: 13.31% → 26/01: 15.27% → 26/01: 13.57%
6574,株式会社コンヴァノ,山下　奈津紀,4.63,24/08: 4.63% → 24/09: 4.63% → 24/09: 4.63%,純投資,C:会社提案否決,3,6.30,2,24/08: 5.26% → 24/09: 5.26% → 24/09: 6.30%
6574,株式会社コンヴァノ,川口　佑,4.28,24/06: 5.00% → 24/06: 5.00% → 24/08: 5.00% → 24/08: 5.00% → 25/07: 4.30% → 25/07: 4.99% → 25/07: 4.87% → 25/08: 4.37% → 25/09: 4.30% → 25/09: 4.37% → 25/09: 4.30% → 25/09: 4.87% → 25/09: 4.87% → 25/09: 4.30% → 25/09: 4.37% → 25/09: 4.87% → 25/09: 4.99% → 25/09: 4.30% → 25/09: 4.30% → 25/10: 4.30% → 25/10: 4.28% → 25/10: 4.28% → 25/11: 4.28% → 25/11: 4.28% → 25/11: 4.28% → 26/01: 4.28% → 26/01: 4.28%,状況に応じて重要提案行為等を行う,C:会社提案否決,27,13.57,2,24/06: 5.00% → 24/06: 5.00% → 24/08: 5.00% → 24/08: 5.00% → 25/07: 18.09% → 25/07: 18.09% → 25/07: 18.09% → 25/08: 18.09% → 25/09: 16.82% → 25/09: 18.09% → 25/09: 16.82% → 25/09: 18.09% → 25/09: 18.09% → 25/09: 16.82% → 25/09: 18.09% → 25/09: 18.09% → 25/09: 18.09% → 25/09: 15.62% → 25/09: 15.62% → 25/10: 15.62% → 25/10: 14.42% → 25/10: 14.42% → 25/11: 13.30% → 25/11: 11.61% → 25/11: 13.31% → 26/01: 15.27% → 26/01: 13.57%
6574,株式会社コンヴァノ,株式会社メディカルフロンティア,1.67,24/08: 0.63% → 24/09: 0.63% → 24/09: 1.67%,純投資,C:会社提案否決,3,6.30,2,24/08: 5.26% → 24/09: 5.26% → 24/09: 6.30%
6574,株式会社コンヴァノ,青木　剛志,0.00,24/02: 72.28% → 24/02: 72.28% → 24/04: 0.00%,純投資であり、安定株主として長期保有を目的としております。,C:会社提案否決,3,0.00,1,24/02: 72.28% → 24/02: 72.28% → 24/04: 0.00%
6616,トレックス・セミコンダクター株式会社,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,11.16,24/03: 7.12% → 24/07: 8.18% → 24/11: 9.42% → 25/03: 10.44% → 25/06: 10.44% → 25/07: 11.44% → 25/09: 12.46% → 25/09: 12.46% → 25/12: 13.49% → 26/04: 14.54% → 26/06: 13.40% → 26/06: 12.37% → 26/06: 13.40% → 26/07: 11.16%,提出者は、投資先企業の価値向上を目指してエンゲージメントを行うが、投資先企業の取締役会が十分に機能していないと見える場合にはその是正を図るためアクティビズムに発展する場合もある（「エスカレーション」と称している）。提出者は、これらエンゲージメントの一環として発行者に対して以下についての提案を行う予定がある。ただし、具体的な内容、時期及び条件は引き続き検討中である。・配当方針の重要な変更・増資・減資方針の重要な変更・資本政策の方針の重要な変更・多額の借財・事業の全部又は一部の譲渡・譲受け・休止又は廃止・重要な資産の処分又は取得・株式交換・株式移転・会社分割・合併・発行者以外の者による支配権の取得・役員構成の重要な変更（役員の数又は任期に係る重要な変更を含む）・代表取締役、代表執行役若しくは執行役員の選解任・特定の個人の役員選任提出者は、発行者の株式の市場株価が割安と判断される水準にとどまる場合、ポートフォリオ投資の一環として、今後3か月以内に発行済み株式総数の5％超の普通株式を市場取引で追加取得する予定がある。ただし、具体的な判断基準、取得価格、数量、時期は未定である。,C:会社提案否決,14,11.16,1,24/03: 7.12% → 24/07: 8.18% → 24/11: 9.42% → 25/03: 10.44% → 25/06: 10.44% → 25/07: 11.44% → 25/09: 12.46% → 25/09: 12.46% → 25/12: 13.49% → 26/04: 14.54% → 26/06: 13.40% → 26/06: 12.37% → 26/06: 13.40% → 26/07: 11.16%
6616,トレックス・セミコンダクター株式会社,ベイリー・ギフォード・アンド・カンパニー(Baillie Gifford & Co),4.45,24/05: 6.71% → 24/10: 5.70% → 24/12: 4.45%,投資一任契約に基づき、顧客資産で本件株式を保有している。,C:会社提案否決,3,4.45,1,24/05: 6.71% → 24/10: 5.70% → 24/12: 4.45%
6616,トレックス・セミコンダクター株式会社,株式会社ＳＢＩ証券,3.15,24/07: 5.28% → 26/06: 3.15%,証券業務に係る商品在庫として保有している。,C:会社提案否決,2,3.15,1,24/07: 5.28% → 26/06: 3.15%
6645,オムロン株式会社,野村アセットマネジメント株式会社,7.54,25/08: 7.02% → 25/09: 7.54%,信託財産の運用として保有している。,A:賛成率低下,2,7.71,2,25/08: 7.60% → 25/09: 7.71%
6645,オムロン株式会社,アモーヴァ・アセットマネジメント株式会社,5.29,25/09: 5.29%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下,1,8.12,2,25/09: 8.12%
6645,オムロン株式会社,日興アセットマネジメント株式会社,5.20,25/04: 4.19% → 25/07: 5.20% → 25/09: 5.20%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下,3,8.00,2,25/04: 7.23% → 25/07: 8.14% → 25/09: 8.00%
6645,オムロン株式会社,三井住友トラスト・アセットマネジメント株式会社,2.83,25/04: 3.04% → 25/07: 2.94% → 25/09: 2.80% → 25/09: 2.83%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下,4,8.12,2,25/04: 7.23% → 25/07: 8.14% → 25/09: 8.00% → 25/09: 8.12%
6645,オムロン株式会社,ブラックロック・ジャパン株式会社,2.20,24/11: 2.30% → 25/09: 2.20%,純投資（投資一任契約に基づく顧客の資産運用および投資信託約款に基づく資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,三菱ＵＦＪアセットマネジメント株式会社,2.07,24/07: 1.84% → 25/07: 2.07%,純投資,A:賛成率低下,2,4.19,3,24/07: 6.81% → 25/07: 4.19%
6645,オムロン株式会社,三菱ＵＦＪ信託銀行株式会社,2.02,24/07: 2.36% → 25/07: 2.02%,純投資,A:賛成率低下,2,4.19,3,24/07: 6.81% → 25/07: 4.19%
6645,オムロン株式会社,ブラックロック・ファンド・アドバイザーズ(BlackRock Fund Advisors),1.09,24/11: 1.76% → 25/09: 1.09%,純投資（投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,"ブラックロック・インスティテューショナル・トラスト・カンパニー、エヌ．エイ．(BlackRock Institutional Trust Company, N.A.)",0.78,24/11: 1.09% → 25/09: 0.78%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,ブラックロック・ファンド・マネジャーズ・リミテッド(BlackRock Fund Managers Limited),0.54,24/11: 0.86% → 25/09: 0.54%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,ブラックロック・アセット・マネジメント・アイルランド・リミテッド(BlackRock Asset Management Ireland Limited),0.51,24/11: 1.06% → 25/09: 0.51%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,ブラックロック（ネザーランド）BV(BlackRock (Netherlands) BV),0.17,24/11: 0.34% → 25/09: 0.17%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,ノムラ　インターナショナル　ピーエルシー（ＮＯＭＵＲＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＰＬＣ）,0.16,25/09: 0.16%,証券業務に係わる商品在庫として保有している。,A:賛成率低下,1,7.71,2,25/09: 7.71%
6645,オムロン株式会社,三菱ＵＦＪモルガン・スタンレー証券株式会社,0.11,24/07: 0.12% → 25/07: 0.11%,商品有価証券等として保有するもの,A:賛成率低下,2,4.19,3,24/07: 6.81% → 25/07: 4.19%
6645,オムロン株式会社,"アペリオ・グループ・エルエルシー(Aperio Group, LLC)",0.08,24/11: 0.16% → 25/09: 0.08%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,ブラックロック・インベストメント・マネジメント（ユーケー）リミテッド(BlackRock Investment Management (UK) Limited),0.07,24/11: 0.25% → 25/09: 0.07%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,"ブラックロック・フィナンシャル・マネジメント・インク(BlackRock Financial Management, Inc.)",0.06,24/11: 0.06%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,1,8.10,10,24/11: 8.10%
6645,オムロン株式会社,ブラックロック・インベストメント・マネジメント・エルエルシー(BlackRock Investment Management LLC),0.06,24/11: 0.06%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,1,8.10,10,24/11: 8.10%
6645,オムロン株式会社,ブラックロック・アセット・マネジメント・カナダ・リミテッド(BlackRock Asset Management Canada Limited),0.04,24/11: 0.14% → 25/09: 0.04%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6645,オムロン株式会社,野村證券株式会社,0.04,25/08: 0.58% → 25/09: 0.04%,証券業務に係る商品在庫、及び累積投資業務の運営目的として保有している。,A:賛成率低下,2,7.71,2,25/08: 7.60% → 25/09: 7.71%
6645,オムロン株式会社,株式会社三菱ＵＦＪ銀行,0.00,24/07: 2.49% → 25/07: 0.00%,－,A:賛成率低下,2,4.19,3,24/07: 6.81% → 25/07: 4.19%
6645,オムロン株式会社,ブラックロック・インベストメント・マネジメント （オーストラリア）リミテッド(BlackRock Investment Management (Australia) Limited),0.00,24/11: 0.13% → 25/09: 0.00%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,2,5.29,6,24/11: 8.10% → 25/09: 5.29%
6727,株式会社ワコム,アセット・バリュー・インベスターズ・リミテッド (Asset Value Investors Limited),17.05,24/02: 9.09% → 24/03: 7.73% → 25/05: 9.18% → 25/06: 11.04% → 25/06: 12.04% → 25/08: 13.17% → 26/05: 13.74% → 26/06: 14.83% → 26/07: 15.91% → 26/08: 17.05%,提出者の保有目的は純投資であり、発行者の持続的な企業価値の向上に必要であると判断した場合には以下の重要提案行為等を行う可能性がある。・重要な財産の処分又は譲受け・代表取締役の選定若しくは解職・特定の者の役員への選任・役員の構成の重要な変更・事業の全部又は一部の譲渡、譲受け、休止又は廃止・配当に関する方針の重要な変更・資本政策に関する重要な変更提出者は、発行者に対し、配当性向の目安を65%に設定するように提案している。上記以外の重要提案行為等の具体的な内容、時期及び条件については未定である。,A:賛成率低下 + C:会社提案否決,10,17.05,1,24/02: 9.09% → 24/03: 7.73% → 25/05: 9.18% → 25/06: 11.04% → 25/06: 12.04% → 25/08: 13.17% → 26/05: 13.74% → 26/06: 14.83% → 26/07: 15.91% → 26/08: 17.05%
6727,株式会社ワコム,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,5.05,25/09: 5.05%,純投資及び状況に応じて重要提案行為等を行うこと。,A:賛成率低下 + C:会社提案否決,1,5.05,1,25/09: 5.05%
6727,株式会社ワコム,日興アセットマネジメント株式会社,4.06,25/06: 4.06%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,7.00,2,25/06: 7.00%
6727,株式会社ワコム,インベスコ･アセット･マネジメント株式会社,3.87,24/02: 8.44% → 24/03: 7.21% → 24/05: 5.12% → 24/10: 3.87%,投資一任契約に基づく契約資産の運用および委託者指図型投資信託の運用において保有,A:賛成率低下 + C:会社提案否決,4,3.98,2,24/02: 8.63% → 24/03: 7.40% → 24/05: 5.31% → 24/10: 3.98%
6727,株式会社ワコム,ベイリー・ギフォード・アンド・カンパニー(Baillie Gifford & Co),3.39,24/03: 4.76% → 24/08: 4.12% → 25/04: 3.39%,投資一任契約に基づき、顧客資産で本件株式を保有している。,A:賛成率低下 + C:会社提案否決,3,4.47,2,24/03: 6.63% → 24/08: 5.49% → 25/04: 4.47%
6727,株式会社ワコム,三井住友トラスト・アセットマネジメント株式会社,2.20,25/06: 2.93% → 25/09: 2.74% → 26/07: 2.31% → 26/08: 2.20%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下 + C:会社提案否決,4,3.98,2,25/06: 7.00% → 25/09: 6.51% → 26/07: 5.26% → 26/08: 3.98%
6727,株式会社ワコム,アモーヴァ・アセットマネジメント株式会社,1.77,25/09: 3.78% → 26/07: 2.95% → 26/08: 1.77%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,3,3.98,2,25/09: 6.51% → 26/07: 5.26% → 26/08: 3.98%
6727,株式会社ワコム,ベイリー・ギフォード・オーバーシーズ・リミテッド(Baillie Gifford Overseas Limited),1.08,24/03: 1.87% → 24/08: 1.37% → 25/04: 1.08%,投資一任契約に基づき、顧客資産で本件株式を保有している。,A:賛成率低下 + C:会社提案否決,3,4.47,2,24/03: 6.63% → 24/08: 5.49% → 25/04: 4.47%
6727,株式会社ワコム,インベスコ　ホンコン　リミテッド（Ｉｎｖｅｓｃｏ　Ｈｏｎｇ　Ｋｏｎｇ　Ｌｉｍｉｔｅｄ）,0.11,24/02: 0.19% → 24/03: 0.20% → 24/05: 0.19% → 24/10: 0.11%,投資一任契約に基づく契約資産の運用および委託者指図型投資信託の運用において保有,A:賛成率低下 + C:会社提案否決,4,3.98,2,24/02: 8.63% → 24/03: 7.40% → 24/05: 5.31% → 24/10: 3.98%
6743,大同信号株式会社,日本電設工業株式会社,10.52,24/06: 13.29% → 26/08: 13.29% → 26/08: 10.52%,発行者と提出者は取引関係において密接な関係にあり、今後の関係強化を図るため,C:会社提案否決,3,10.52,1,24/06: 13.29% → 26/08: 13.29% → 26/08: 10.52%
6743,大同信号株式会社,株式会社みずほ銀行,3.79,24/06: 3.79% → 24/06: 3.79%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。,C:会社提案否決,2,5.34,2,24/06: 3.79% → 24/06: 5.34%
6743,大同信号株式会社,有限会社光パワー,3.32,26/04: 3.32%,長期保有を目的とした純投資,C:会社提案否決,1,3.32,2,26/04: 3.32%
6743,大同信号株式会社,みずほ信託銀行株式会社,1.55,24/06: 0.00% → 24/06: 1.55%,信託財産として運用その他の信託目的に従い保有するもの。,C:会社提案否決,2,5.34,2,24/06: 3.79% → 24/06: 5.34%
6743,大同信号株式会社,重田康光,0.00,26/04: 0.00%,長期保有を目的とした純投資,C:会社提案否決,1,3.32,2,26/04: 3.32%
6750,エレコム株式会社,葉田　順治,19.01,24/07: 19.01% → 24/08: 19.01%,発行会社が分離・独立する過程において、取締役社長としての経営権保持の為に保有しました。,A:賛成率低下,2,33.07,4,24/07: 33.07% → 24/08: 33.07%
6750,エレコム株式会社,有限会社サンズ,13.66,24/07: 13.66% → 24/08: 13.66%,発行会社の代表取締役が代表を務める法人であり、安定株主として長期保有を目的としております。,A:賛成率低下,2,33.07,4,24/07: 33.07% → 24/08: 33.07%
6750,エレコム株式会社,葉田　いつの,0.39,24/07: 0.39% → 24/08: 0.39%,発行会社の代表取締役の配偶者であり、安定株主として長期保有を目的としております。,A:賛成率低下,2,33.07,4,24/07: 33.07% → 24/08: 33.07%
6750,エレコム株式会社,株式会社ジャスティン,0.00,24/07: 0.00% → 24/08: 0.00%,,A:賛成率低下,2,33.07,4,24/07: 33.07% → 24/08: 33.07%
6763,帝国通信工業株式会社,ＧＬＯＢＡＬ　ＭＡＮＡＧＥＭＥＮＴ　ＰＡＲＴＮＥＲＳ　ＬＩＭＩＴＥＤ,9.11,24/11: 0.00% → 26/03: 9.11%,純投資,B:新規株主提案,2,9.42,3,24/11: 7.27% → 26/03: 9.42%
6763,帝国通信工業株式会社,ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,5.03,24/04: 4.62% → 24/09: 5.03% → 24/11: 5.03% → 25/01: 5.03% → 26/04: 5.03%,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,B:新規株主提案,5,8.66,3,24/04: 6.05% → 24/09: 7.19% → 24/11: 8.20% → 25/01: 8.66% → 26/04: 8.66%
6763,帝国通信工業株式会社,株式会社みずほ銀行,4.53,24/04: 4.83% → 24/09: 4.83% → 26/08: 4.53%,・発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの,B:新規株主提案,3,7.60,3,24/04: 7.43% → 24/09: 8.61% → 26/08: 7.60%
6763,帝国通信工業株式会社,"ダルトン・インベストメンツ・インク（Dalton Investments, Inc.）",2.15,24/09: 0.68% → 24/11: 1.69% → 25/01: 2.15% → 26/04: 2.15%,提出者は、発行者の株価が過小評価されており魅力的な投資機会であると考えて、発行者の株式を取得し長期的に保有する。提出者は、発行者の財務状況、戦略的決定、取締役会の決定、株価水準、他の投資機会、投資ポートフォリオの集中と分散に関する内部ガイドライン、株式市場の状況、全般的な経済・産業動向などの様々な状況に応じて、発行者の株式や関連金融商品の追加取得、若しくはその全部または一部の売却、その他提出者が適切と考えるあらゆる措置を採る可能性がある。更に提出者は、過小評価されていると提出者が考える発行者の株価および株主価値の向上のため、発行者、その役員・取締役、他の株主等との間で、発行者のコーポレートガバナンス、取締役会の構成、経営、事業、財務状況及び戦略に関して、建設的な対話を行うことを求めていく可能性がある。,B:新規株主提案,4,8.66,3,24/09: 7.19% → 24/11: 8.20% → 25/01: 8.66% → 26/04: 8.66%
6763,帝国通信工業株式会社,みずほ信託銀行株式会社,1.54,24/04: 0.68% → 24/09: 1.63% → 26/08: 1.54%,・信託財産として運用その他の信託目的に従い保有するもの,B:新規株主提案,3,7.60,3,24/04: 7.43% → 24/09: 8.61% → 26/08: 7.60%
6763,帝国通信工業株式会社,アセットマネジメントOne株式会社,1.53,24/04: 1.46% → 24/09: 2.00% → 26/08: 1.53%,・投資信託または投資一任契約に基づき投資権限を有するもの,B:新規株主提案,3,7.60,3,24/04: 7.43% → 24/09: 8.61% → 26/08: 7.60%
6763,帝国通信工業株式会社,エヌエーブイエフ・セレクト・エルエルシー（NAVF Select LLC）,1.48,24/04: 1.43% → 24/09: 1.48% → 24/11: 1.48% → 25/01: 1.48%,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、エヌエーブイエフ・セレクト・エルエルシーは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,B:新規株主提案,4,8.66,3,24/04: 6.05% → 24/09: 7.19% → 24/11: 8.20% → 25/01: 8.66%
6763,帝国通信工業株式会社,エヌエーブイエフ・セレクト・マスター・ファンド・エルピー（NAVF Select (Master) Fund LP）,1.48,26/04: 1.48%,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、エヌエーブイエフ・セレクト・マスター・ファンド・エルピーは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,B:新規株主提案,1,8.66,3,26/04: 8.66%
6763,帝国通信工業株式会社,株式会社スノーボールキャピタル,0.31,24/11: 0.31% → 25/05: 0.31% → 26/03: 0.31% → 26/03: 0.31%,純投資,B:新規株主提案,4,9.42,3,24/11: 7.27% → 25/05: 8.27% → 26/03: 9.29% → 26/03: 9.42%
6763,帝国通信工業株式会社,みずほ証券 株式会社,0.09,24/04: 0.45% → 24/09: 0.14% → 26/08: 0.09%,・ディーリング(短期売買)目的で保有するもの・レンディングその他取引に基づく一時的保有,B:新規株主提案,3,7.60,3,24/04: 7.43% → 24/09: 8.61% → 26/08: 7.60%
6763,帝国通信工業株式会社,重田　光時,0.00,24/11: 6.96% → 25/05: 7.96% → 26/03: 8.98% → 26/03: 0.00%,純投資,B:新規株主提案,4,9.42,3,24/11: 7.27% → 25/05: 8.27% → 26/03: 9.29% → 26/03: 9.42%
6820,アイコム株式会社,株式会社ＵＨ　Ｐａｒｔｎｅｒｓ　２,6.00,25/04: 9.29% → 25/06: 6.77% → 25/10: 6.00% → 25/12: 6.00%,純投資,A:賛成率低下,4,13.14,3,25/04: 17.27% → 25/06: 17.27% → 25/10: 13.14% → 25/12: 13.14%
6820,アイコム株式会社,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,5.01,26/05: 5.01%,純投資,A:賛成率低下,1,5.01,1,26/05: 5.01%
6820,アイコム株式会社,光通信株式会社,4.61,25/04: 7.98% → 25/06: 7.98% → 25/10: 4.61% → 25/12: 4.61%,純投資,A:賛成率低下,4,13.14,3,25/04: 17.27% → 25/06: 17.27% → 25/10: 13.14% → 25/12: 13.14%
6820,アイコム株式会社,株式会社アイビー,2.52,25/06: 2.52% → 25/10: 2.52% → 25/12: 2.52%,純投資,A:賛成率低下,3,13.14,3,25/06: 17.27% → 25/10: 13.14% → 25/12: 13.14%
6867,リーダー電子株式会社,アイ・オー・キャピタル株式会社,18.76,26/04: 18.76% → 26/04: 18.76%,純投資、取締役の派遣等による経営参加及び業務提携の実施,A:賛成率低下,2,18.76,1,26/04: 18.76% → 26/04: 18.76%
6867,リーダー電子株式会社,後藤明子,0.00,24/03: 0.00%,,A:賛成率低下,1,0.00,1,24/03: 0.00%
6867,リーダー電子株式会社,大松正明,0.00,24/03: 0.00%,,A:賛成率低下,1,0.00,1,24/03: 0.00%
6867,リーダー電子株式会社,Ａｎｃｈｏｒ　Ｃａｐｉｔａｌ　Ｇｒｏｕｐ株式会社,0.00,25/12: 18.76% → 26/04: 0.00% → 26/04: 0.00%,純投資、取締役の派遣等による経営参加及び業務提携の実施,A:賛成率低下,3,0.00,1,25/12: 18.76% → 26/04: 0.00% → 26/04: 0.00%
6908,イリソ電子工業株式会社,野村絢,3.87,24/08: 5.06% → 24/09: 3.72% → 24/10: 3.02% → 24/11: 1.52% → 25/06: 5.03% → 25/09: 3.87%,投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと,A:賛成率低下,6,3.87,2,24/08: 5.06% → 24/09: 3.72% → 24/10: 5.06% → 24/11: 3.56% → 25/06: 5.04% → 25/09: 3.87%
6908,イリソ電子工業株式会社,シュローダー・インベストメント・マネジメント株式会社,3.00,24/04: 3.00%,純投資。証券投資信託及び投資一任契約にかかる信託財産の運用のため,A:賛成率低下,1,3.00,2,24/04: 3.00%
6908,イリソ電子工業株式会社,三井住友トラスト・アセットマネジメント株式会社,2.89,24/03: 2.89%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下,1,3.96,2,24/03: 3.96%
6908,イリソ電子工業株式会社,アセットマネジメントOne株式会社,2.47,24/02: 5.62% → 24/03: 4.20% → 24/04: 4.24% → 24/08: 2.47%,投資信託または投資一任契約に基づき投資権限を有するもの。,A:賛成率低下,4,3.23,3,24/02: 6.51% → 24/03: 4.98% → 24/04: 5.04% → 24/08: 3.23%
6908,イリソ電子工業株式会社,三菱ＵＦＪ信託銀行株式会社,2.44,24/02: 3.46% → 24/03: 2.44% → 25/05: 3.46% → 25/10: 2.44%,純投資,A:賛成率低下,4,4.31,3,24/02: 5.11% → 24/03: 4.14% → 25/05: 5.07% → 25/10: 4.31%
6908,イリソ電子工業株式会社,三菱ＵＦＪアセットマネジメント株式会社,1.21,24/02: 0.99% → 24/03: 1.04% → 25/05: 0.95% → 25/10: 1.21%,純投資,A:賛成率低下,4,4.31,3,24/02: 5.11% → 24/03: 4.14% → 25/05: 5.07% → 25/10: 4.31%
6908,イリソ電子工業株式会社,日興アセットマネジメント株式会社,1.07,24/03: 1.07%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下,1,3.96,2,24/03: 3.96%
6908,イリソ電子工業株式会社,株式会社三菱ＵＦＪ銀行,0.66,24/02: 0.66% → 24/03: 0.66% → 25/05: 0.66% → 25/10: 0.66%,政策投資,A:賛成率低下,4,4.31,3,24/02: 5.11% → 24/03: 4.14% → 25/05: 5.07% → 25/10: 4.31%
6908,イリソ電子工業株式会社,みずほ証券 株式会社,0.43,24/02: 0.56% → 24/03: 0.45% → 24/04: 0.47% → 24/08: 0.43%,政策投資目的にて保有するもの。ディーリング(短期売買)目的で保有するもの。,A:賛成率低下,4,3.23,3,24/02: 6.51% → 24/03: 4.98% → 24/04: 5.04% → 24/08: 3.23%
6908,イリソ電子工業株式会社,株式会社みずほ銀行,0.33,24/02: 0.33% → 24/03: 0.33% → 24/04: 0.33% → 24/08: 0.33%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。,A:賛成率低下,4,3.23,3,24/02: 6.51% → 24/03: 4.98% → 24/04: 5.04% → 24/08: 3.23%
