証券コード,企業名,大量保有報告書,保有者数,保有者一覧,トリガー条件
4113,田岡化学工業株式会社,なし,,,A:賛成率低下
4116,大日精化工業株式会社,あり,2,三井住友トラスト・アセットマネジメント株式会社(3.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.0%),A:賛成率低下
4179,株式会社ジーネクスト,あり,3,株式会社舞花(22.3%) / 株式会社ＣＡＲＰＥ　ＤＩＥＭ(4.1%) / 横治　祐介(8.6%),A:賛成率低下
4183,三井化学株式会社,あり,5,ブラックロック・ジャパン株式会社(1.8%) / 三井住友信託銀行株式会社(0.0%) / 株式会社みずほ銀行(0.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.2%) / 野村證券株式会社(0.2%),A:賛成率低下
4216,旭有機材株式会社,あり,1,キャピタル・リサーチ・アンド・マネージメント・カンパニー(2.8%),A:賛成率低下
4240,クラスターテクノロジー株式会社,なし,,,A:賛成率低下
4452,花王株式会社,あり,7,ブラックロック・ジャパン株式会社(2.2%) / 三井住友トラスト・アセットマネジメント株式会社(2.8%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.2%) / 野村アセットマネジメント株式会社(0.1%) / 野村證券株式会社(0.1%) / ＪＰモルガン・アセット・マネジメント株式会社(1.1%) / Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．(12.6%),C:会社提案否決
4462,石原ケミカル株式会社,あり,3,シンプレクス・アセット・マネジメント株式会社(10.7%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(1.3%) / ＳＭＢＣ日興証券株式会社(0.7%),A:賛成率低下
4494,バリオセキュア株式会社,あり,2,光通信株式会社(7.7%) / 有限会社光パワー(1.6%),A:賛成率低下
4512,わかもと製薬株式会社,あり,2,アセット・バリュー・インベスターズ・リミテッド(10.6%) / ロート製薬株式会社(11.4%),A:賛成率低下 + C:会社提案否決
4523,エーザイ株式会社,あり,5,ウエリントン・マネージメント・カンパニー・エルエルピー(4.8%) / ブラックロック・ジャパン株式会社(1.9%) / 三井住友トラスト・アセットマネジメント株式会社(3.3%) / 野村アセットマネジメント株式会社(0.1%) / 銀行等保有株式取得機構(3.8%),A:賛成率低下
4527,ロート製薬株式会社,あり,1,株式会社三菱ＵＦＪフィナンシャル・グループ(3.2%),B:新規株主提案
4549,栄研化学株式会社,あり,5,アセット・バリュー・インベスターズ・リミテッド(7.4%) / ティー・ロウ・プライス・ジャパン株式会社(3.4%) / 三井住友トラスト・アセットマネジメント株式会社(2.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.9%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(9.5%),A:賛成率低下
4569,杏林製薬株式会社,あり,3,荻原　年(0.2%) / 荻原　豊(0.1%) / ＫＯＰＥＲＮＩＫ　ＧＬＯＢＡＬ　ＩＮＶＥＳＴＯＲＳ，　ＬＬＣ(8.8%),A:賛成率低下
4571,ＮＡＮＯホールディングス株式会社,あり,2,株式会社ウィズ・パートナーズ(0.0%) / 株式会社ＳＢＩ証券(26.1%),A:賛成率低下
4743,株式会社アイティフォー,あり,3,三井住友ＤＳアセットマネジメント株式会社(6.0%) / 光通信株式会社(6.8%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.6%),A:賛成率低下
4832,ＪＦＥシステムズ株式会社,なし,,,A:賛成率低下 + C:会社提案否決
4886,あすか製薬ホールディングス株式会社,あり,2,株式会社三菱ＵＦＪフィナンシャル・グループ(3.6%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(8.3%),A:賛成率低下
4888,ステラファーマ株式会社,あり,4,アモーヴァ・アセットマネジメント株式会社(0.2%) / ハイツ・キャピタル・マネジメント・インク(5.5%) / 日興アセットマネジメント株式会社(5.6%) / ＳＭＢＣ日興証券株式会社(4.6%),A:賛成率低下
4902,コニカミノルタ株式会社,あり,6,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(10.6%) / 三井住友トラスト・アセットマネジメント株式会社(3.0%) / 三井住友ＤＳアセットマネジメント株式会社(2.8%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(3.6%) / 野村アセットマネジメント株式会社(0.4%) / 野村證券株式会社(0.0%),C:会社提案否決
4970,東洋合成工業株式会社,あり,4,アリアンツ・グローバル・インベスターズ・アジア・パシフィック・リミテッド(4.3%) / 株式会社みずほ銀行(0.7%) / ＦＭＲ　Ｉｎｖｅｓｔｍｅｎｔ　Ｍａｎａｇｅｍｅｎｔ　（ＵＫ）　Ｌｉｍｉｔｅｄ(1.1%) / ＦＭＲ　ＬＬＣ(4.9%),A:賛成率低下
4972,綜研化学株式会社,あり,3,三井住友ＤＳアセットマネジメント株式会社(2.5%) / ＡＸＩＵＭ　ＣＡＰＩＴＡＬ　ＰＴＥ．ＬＴＤ．(20.2%) / Ｅ　ＩＮＫ　ＨＯＬＤＩＮＧＳ　ＩＮＣ．(1.0%),A:賛成率低下
4998,フマキラー株式会社,なし,,,A:賛成率低下
5013,株式会社ユシロ,あり,3,三井住友ＤＳアセットマネジメント株式会社(1.2%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.3%) / ｆｕｎｄｎｏｔｅ株式会社(9.0%),A:賛成率低下
5016,ＪＸ金属株式会社,あり,2,ブラックロック・ジャパン株式会社(1.4%) / ＥＮＥＯＳホールディングス株式会社(42.4%),A:賛成率低下
5076,インフロニア・ホールディングス株式会社,あり,4,みずほ証券株式会社(0.8%) / 光が丘興産株式会社(8.9%) / 株式会社みずほ銀行(0.0%) / 野村證券株式会社(4.5%),A:賛成率低下
5288,アジアパイルホールディングス株式会社,あり,5,三井住友トラスト・アセットマネジメント株式会社(2.0%) / 株式会社みずほ銀行(3.2%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(3.0%) / 野村アセットマネジメント株式会社(2.4%) / 野村證券株式会社(1.0%),A:賛成率低下
5331,ノリタケ株式会社,あり,3,株式会社ストラテジックキャピタル(4.4%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.5%) / 第一生命保険株式会社(5.6%),A:賛成率低下 + C:会社提案否決
5342,ジャニス工業株式会社,あり,1,株式会社ニッソウ(9.5%),A:賛成率低下 + C:会社提案否決
5351,品川リフラ株式会社,あり,1,三井住友信託銀行株式会社(2.1%),A:賛成率低下
5368,日本インシュレーション株式会社,あり,2,光通信株式会社(4.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(4.0%),A:賛成率低下
5384,株式会社フジミインコーポレーテッド,あり,4,キャピタル・リサーチ・アンド・マネージメント・カンパニー(2.9%) / 三井住友トラスト・アセットマネジメント株式会社(3.5%) / 株式会社みずほ銀行(0.3%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.7%),A:賛成率低下
5541,大平洋金属株式会社,あり,9,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(2.1%) / モルガン・スタンレーＭＵＦＧ証券株式会社(-0.3%) / 三井住友トラスト・アセットマネジメント株式会社(2.3%) / 三井住友ＤＳアセットマネジメント株式会社(6.1%) / 日本機設株式会社(4.8%) / 日本製鉄株式会社(0.0%) / 日鉄ステンレス株式会社(0.0%) / 株式会社シティインデックスイレブンス(0.0%) / 野村證券株式会社(-0.0%),A:賛成率低下
5703,日本軽金属ホールディングス株式会社,あり,5,ブラックロック・ジャパン株式会社(2.2%) / 三井住友信託銀行株式会社(1.2%) / 株式会社みずほ銀行(3.2%) / 野村アセットマネジメント株式会社(0.0%) / 野村證券株式会社(0.1%),A:賛成率低下
