証券コード,企業名,大量保有報告書,保有者数,保有者一覧,トリガー条件
9068,丸全昭和運輸株式会社,あり,3,シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド(5.2%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.4%) / 株式会社横浜銀行(4.4%),A:賛成率低下
9069,センコーグループホールディングス株式会社,あり,8,みずほ証券株式会社(1.1%) / ダルトン　インベストメンツ　インク(9.5%) / マラソン・アセット・マネジメント・リミテッド(3.9%) / 三井住友トラスト・アセットマネジメント株式会社(2.9%) / 旭化成株式会社(4.2%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.7%) / 野村證券株式会社(1.8%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(0.6%),A:賛成率低下 + C:会社提案否決
9072,ニッコンホールディングス株式会社,あり,6,シルチェスター・インターナショナル・インベスターズ・エルエルピー(4.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.9%) / 野村證券株式会社(0.1%) / Ｆａｒａｌｌｏｎ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ，　Ｌ．Ｌ．Ｃ．(23.0%) / ＪＰモルガン証券株式会社(2.3%) / Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．(17.7%),A:賛成率低下
9075,福山通運株式会社,あり,4,三井住友トラスト・アセットマネジメント株式会社(1.4%) / 公益財団法人渋谷育英会(13.8%) / 日本生命保険相互会社(5.0%) / 預金保険機構(4.2%),A:賛成率低下
9085,北海道中央バス株式会社,なし,,,B:新規株主提案
9119,飯野海運株式会社,あり,1,三井住友信託銀行株式会社(2.9%),B:新規株主提案
9168,株式会社ライズ・コンサルティング・グループ,あり,10,アーカス・インベストメント・リミテッド(6.1%) / グランジャー・ピーク・グローバル・アドバイザーズ・エルエルシー(2.9%) / スパークス・アセット・マネジメント株式会社(3.0%) / モルガン・スタンレーＭＵＦＧ証券株式会社(3.1%) / 三井住友ＤＳアセットマネジメント株式会社(4.1%) / 朝日　竜樹(4.9%) / 株式会社三井住友銀行(0.0%) / 株式会社ＳＨＩＦＴ(32.5%) / Ｓｕｎｒｉｓｅ　Ｍａｎａｇｅｍｅｎｔ　（Ｎｏｎ－Ｕ．Ｓ．）　Ｌｉｍｉｔｅｄ　ＩＩＩ(1.1%) / Ｓｕｎｒｉｓｅ　Ｍａｎａｇｅｍｅｎｔ　Ｌｉｍｉｔｅｄ　ＩＩＩ(1.0%),A:賛成率低下
9308,乾汽船株式会社,あり,3,ＬＩＭ　Ａｄｖｉｓｏｒｓ　Ｌｉｍｉｔｅｄ(5.4%) / ＭＩＲＩ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　ＬＬＣ(8.4%) / ＳＭＢＣ日興証券株式会社(0.1%),A:賛成率低下
9357,名港海運株式会社,あり,1,ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(4.1%),C:会社提案否決
9364,株式会社上組,あり,3,三井住友トラスト・アセットマネジメント株式会社(2.5%) / 谷川　龍二(7.0%) / 野村アセットマネジメント株式会社(4.9%),A:賛成率低下
9366,株式会社サンリツ,あり,2,大津　直樹(8.3%) / 重田　光時(7.9%),A:賛成率低下
9380,東海運株式会社,なし,,,A:賛成率低下
9381,株式会社エーアイテイー,あり,6,ロジスティード株式会社(20.1%) / 株式会社エイチアンドワイ(32.8%) / 矢倉　英一(0.0%) / ＦＭＲ　ＬＬＣ(9.1%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(4.8%) / Ｌマネジメント株式会社(0.0%),A:賛成率低下
9401,株式会社ＴＢＳホールディングス,なし,,,C:会社提案否決
9402,中部日本放送株式会社,あり,1,株式会社三菱ＵＦＪフィナンシャル・グループ(4.9%),B:新規株主提案
9404,日本テレビホールディングス株式会社,あり,3,キャピタル・リサーチ・アンド・マネージメント・カンパニー(6.3%) / 読売テレビ放送株式会社(6.5%) / 讀賣テレビ放送株式会社(6.5%),A:賛成率低下
9409,株式会社テレビ朝日ホールディングス,あり,2,東映株式会社(17.1%) / 株式会社朝日新聞社(19.5%),B:新規株主提案 + C:会社提案否決
9413,株式会社テレビ東京ホールディングス,あり,3,レオス・キャピタルワークス株式会社(5.3%) / 株式会社みずほ銀行(2.4%) / 株式会社日本経済新聞社(32.6%),C:会社提案否決
9433,ＫＤＤＩ株式会社,あり,4,トヨタ自動車株式会社(7.7%) / ブラックロック・ジャパン株式会社(1.7%) / 三井住友トラスト・アセットマネジメント株式会社(2.2%) / 京セラ株式会社(12.7%),A:賛成率低下
9444,株式会社トーシンホールディングス,あり,1,光通信株式会社(7.1%),A:賛成率低下
9468,株式会社ＫＡＤＯＫＡＷＡ,あり,6,シックスジョイ・ホンコン・リミテッド(8.0%) / ソニーグループ株式会社(10.0%) / 三井住友トラスト・アセットマネジメント株式会社(2.4%) / 株式会社カカオインベストメント(8.4%) / 野村證券株式会社(1.0%) / Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．(15.2%),C:会社提案否決
9502,中部電力株式会社,あり,3,ブラックロック・ジャパン株式会社(1.7%) / 三井住友信託銀行株式会社(0.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.6%),C:会社提案否決
9503,関西電力株式会社,あり,3,ブラックロック・ジャパン株式会社(1.8%) / 大阪市(6.1%) / 野村證券株式会社(0.0%),C:会社提案否決
9601,松竹株式会社,あり,1,株式会社三菱ＵＦＪフィナンシャル・グループ(3.1%),A:賛成率低下
9633,東京テアトル株式会社,あり,2,三井住友信託銀行株式会社(4.3%) / 有限会社キャピタル・マネジメント(5.0%),A:賛成率低下
9644,株式会社タナベコンサルティンググループ,あり,3,光通信株式会社(5.0%) / 楢﨑　十紀(8.9%) / 田邊　洋一郎(9.5%),A:賛成率低下
9684,株式会社スクウェア・エニックス・ホールディングス,あり,5,アヤル・ファースト・インベストメント・カンパニー(9.6%) / インベスコ・アセット・マネジメント株式会社(4.4%) / 福嶋　康博(19.3%) / 野村證券株式会社(1.6%) / ３Ｄ　Ｉｎｖｅｓｔｍｅｎｔ　Ｐａｒｔｎｅｒｓ　Ｐｔｅ．　Ｌｔｄ．(18.5%),A:賛成率低下
9706,日本空港ビルデング株式会社,あり,3,ブラックロック・ジャパン株式会社(1.2%) / 株式会社みずほ銀行(3.5%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(3.3%),A:賛成率低下
9723,株式会社京都ホテル,なし,,,A:賛成率低下
9726,ＫＮＴ－ＣＴホールディングス株式会社,あり,1,ｆｕｎｄｎｏｔｅ株式会社(7.4%),A:賛成率低下
9831,株式会社ヤマダホールディングス,あり,1,株式会社テックプランニング(6.8%),A:賛成率低下
9882,株式会社イエローハット,あり,6,ティー・ロウ・プライス・ジャパン株式会社(2.9%) / 三井住友ＤＳアセットマネジメント株式会社(4.0%) / 株式会社イエローハット(0.0%) / 株式会社ストラテジックキャピタル(13.8%) / 遠藤　幸一(6.1%) / 阿部　英司(0.0%),C:会社提案否決
9885,株式会社　シャルレ,あり,1,林　充孝(5.0%),A:賛成率低下 + B:新規株主提案
9887,株式会社松屋フーズホールディングス,あり,1,瓦葺　利夫(20.2%),A:賛成率低下
9913,日邦産業株式会社,あり,4,ＡＸＩＵＭ　ＣＡＰＩＴＡＬ　ＰＴＥ．ＬＴＤ．(17.0%) / ＦＭＲ　ＬＬＣ(9.5%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(8.2%) / Ｓｗｉｓｓ－Ａｓｉａ　Ｆｉｎａｎｃｉａｌ　Ｓｅｒｖｉｃｅｓ　Ｐｔｅ．　Ｌｔｄ．(0.0%),A:賛成率低下
9930,北沢産業株式会社,あり,3,光通信株式会社(4.9%) / 杉山　肇(7.0%) / 株式会社テンポスホールディングス(6.0%),A:賛成率低下
9956,株式会社バローホールディングス,あり,2,三井住友信託銀行株式会社(0.4%) / 田代　正美(2.5%),A:賛成率低下
9982,タキヒヨー株式会社,あり,2,株式会社旭洋興産(4.8%) / ＵＧＳアセットマネジメント株式会社(7.2%),B:新規株主提案 + C:会社提案否決
